id_celda,sitio,tecnologia,banda_mhz,tipo_sector,partido_comuna,comuna,localidad,provincia,region,subregion,cabecera
WCS070X,CS070,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS070Y,CS070,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS070Z,CS070,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS072A,CS072,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS072X,CS072,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS072Y,CS072,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS072Z,CS072,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS073X,CS073,3G,850,Outdoor,CABA COMUNA 10,10,VILLA LURO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS073Y,CS073,3G,850,Outdoor,CABA COMUNA 10,10,VILLA LURO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS073Z,CS073,3G,850,Outdoor,CABA COMUNA 10,10,VILLA LURO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS074A,CS074,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS074X,CS074,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS074Y,CS074,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS074Z,CS074,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS075E,CS075,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS075X,CS075,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS075Y,CS075,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
